additional_characteristics,cost_feature,curve_characteristics,curve_id,curve_type,damage_states,derivation_methodology,exposed_element,geographical_application,hazard_type,intensity_metric,original_id,readily_available,sector,source,source_details,uncertainty_range,hazard_name,sheet_name,intensity_axis,intensity_unit
"Concrete sewer gravity pipes, liquefaction zone 1",No,RC,E19.16,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Concrete sewer gravity pipes, liquefaction zone 2",No,RC,E19.17,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Concrete sewer gravity pipes, liquefaction zone 3",No,RC,E19.18,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Concrete sewer gravity pipes, liquefaction zone 4",No,RC,E19.19,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Ductile pipelines: steel, ductile iron, and PVC, and welded steel pipes with arc-welded joints",Yes,RC,E19.2,V (repair rate),,O,Sewers & interceptors:Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Waste,FEMA (2020),M,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Concrete sewer gravity pipes, non-liquefaction zone",No,RC,E19.20,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Earthenware sewer gravity pipes, liquefaction zone 0",No,RC,E19.21,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Earthenware sewer gravity pipes, liquefaction zone 1",No,RC,E19.22,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Earthenware sewer gravity pipes, liquefaction zone 2",No,RC,E19.23,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Earthenware sewer gravity pipes, liquefaction zone 3",No,RC,E19.24,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Earthenware sewer gravity pipes, liquefaction zone 4",No,RC,E19.25,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Earthenware sewer gravity pipes, non-liquefaction zone",No,RC,E19.26,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
